LogFile Data Coherent Correlation Imaging:

---------------------------- Header -----------------------------------
Image Format Holograms: [960,972]
Image Format Reference-filtered : [960,972]
Image Format Flattened Holograms: [70,70]
Image Format Correlation matrix: [28800,28800]
Format: Float64
---------------------------- Data -----------------------------------
Frame_Nr:	 Timestamp:	 Helicitiy:	 State:	 Mode:	 Topography-Nr:	 Translation_y:	 Translation_x:	 FileName:
186	 94.095	 -1	 1	 1-1	 1	 0.007	 -0.003	 00186.bin	
187	 94.482	 -1	 1	 1-1	 1	 0.006	 -0.003	 00187.bin	
188	 94.869	 -1	 1	 1-1	 1	 -0.014	 0.009	 00188.bin	
189	 95.256	 -1	 1	 1-1	 1	 0.008	 0.006	 00189.bin	
190	 95.643	 -1	 1	 1-1	 1	 -0.006	 0.009	 00190.bin	
191	 96.030	 -1	 1	 1-1	 1	 -0.001	 0.008	 00191.bin	
192	 96.417	 -1	 1	 1-1	 1	 -0.005	 0.012	 00192.bin	
193	 96.804	 -1	 1	 1-1	 1	 -0.002	 0.002	 00193.bin	
194	 97.191	 -1	 1	 1-1	 1	 0.012	 0.006	 00194.bin	
195	 97.578	 -1	 1	 1-1	 1	 -0.011	 0.001	 00195.bin	
196	 97.965	 -1	 1	 1-1	 1	 -0.002	 0.001	 00196.bin	
197	 98.352	 -1	 1	 1-1	 1	 -0.000	 0.017	 00197.bin	
198	 98.739	 -1	 1	 1-1	 1	 0.007	 0.002	 00198.bin	
199	 99.126	 -1	 1	 1-1	 1	 -0.002	 0.006	 00199.bin	
200	 99.514	 -1	 1	 1-1	 1	 0.003	 0.003	 00200.bin	
201	 249.086	 1	 1	 1-1	 2	 -0.016	 -0.016	 00201.bin	
202	 249.473	 1	 1	 1-1	 2	 -0.004	 -0.004	 00202.bin	
203	 249.858	 1	 1	 1-1	 2	 -0.014	 -0.009	 00203.bin	
204	 250.247	 1	 1	 1-1	 2	 -0.015	 -0.004	 00204.bin	
205	 250.633	 1	 1	 1-1	 2	 -0.029	 -0.007	 00205.bin	
206	 251.020	 1	 1	 1-1	 2	 0.000	 -0.006	 00206.bin	
207	 251.407	 1	 1	 1-1	 2	 0.004	 0.003	 00207.bin	
208	 251.794	 1	 1	 1-1	 2	 -0.018	 0.010	 00208.bin	
209	 252.181	 1	 1	 1-1	 2	 0.002	 0.002	 00209.bin	
210	 252.568	 1	 1	 1-1	 2	 -0.005	 -0.016	 00210.bin	
211	 252.955	 1	 1	 1-1	 2	 -0.024	 -0.005	 00211.bin	
212	 253.342	 1	 1	 1-1	 2	 -0.012	 -0.005	 00212.bin	
